instructorId,subjectId,preferenceType,reason,createdAt,updatedAt
2025-100001,1,Prefer,Strong foundation in introductory computing and productivity tools.,2025-07-23,2025-07-23
2025-100001,2,Prefer,Experienced teaching introductory programming.,2025-07-23,2025-07-23
2025-100001,4,Avoid,Limited background in Human-Computer Interaction.,2025-07-23,2025-07-23
2025-100001,8,Prefer,Comfortable with algorithms and data structures.,2025-07-23,2025-07-23
2025-100001,12,Avoid,No expertise in networking subjects.,2025-07-23,2025-07-23
2025-100001,18,Prefer,Background in database systems.,2025-07-23,2025-07-23
2025-100001,24,Avoid,No interest in social and professional issues.,2025-07-23,2025-07-23
2025-100001,33,Avoid,Unfamiliar with systems integration.,2025-07-23,2025-07-23
2025-100001,39,Prefer,Experienced in practicum supervision.,2025-07-23,2025-07-23
2025-100001,27,Avoid,Not confident in multimedia systems.,2025-07-23,2025-07-23
2025-100002,2,Prefer,Skilled in programming fundamentals.,2025-07-23,2025-07-23
2025-100002,6,Prefer,Advanced programming experience.,2025-07-23,2025-07-23
2025-100002,8,Avoid,Lacks algorithm teaching experience.,2025-07-23,2025-07-23
2025-100002,19,Prefer,Good understanding of systems analysis.,2025-07-23,2025-07-23
2025-100002,22,Avoid,Unfamiliar with web technologies.,2025-07-23,2025-07-23
2025-100002,28,Prefer,Strong in IT electives.,2025-07-23,2025-07-23
2025-100002,31,Avoid,No experience with connecting networks.,2025-07-23,2025-07-23
2025-100002,33,Avoid,Unfamiliar with system integration.,2025-07-23,2025-07-23
2025-100002,24,Prefer,Comfortable with quantitative methods.,2025-07-23,2025-07-23
2025-100002,12,Avoid,Limited networking knowledge.,2025-07-23,2025-07-23
2025-100003,4,Prefer,Background in Human-Computer Interaction.,2025-07-23,2025-07-23
2025-100003,5,Prefer,Discrete mathematics expertise.,2025-07-23,2025-07-23
2025-100003,9,Prefer,Object-oriented programming skills.,2025-07-23,2025-07-23
2025-100003,11,Avoid,No web systems experience.,2025-07-23,2025-07-23
2025-100003,18,Prefer,Advanced database systems knowledge.,2025-07-23,2025-07-23
2025-100003,23,Avoid,Limited event-driven programming skills.,2025-07-23,2025-07-23
2025-100003,27,Prefer,Multimedia systems experience.,2025-07-23,2025-07-23
2025-100003,34,Avoid,Not confident in information assurance.,2025-07-23,2025-07-23
2025-100003,39,Prefer,Capstone project mentorship experience.,2025-07-23,2025-07-23
2025-100003,19,Prefer,Systems analysis expertise.,2025-07-23,2025-07-23
2025-100004,3,Prefer,Experienced teaching general education courses.,2025-07-23,2025-07-23
2025-100004,5,Avoid,Limited math background.,2025-07-23,2025-07-23
2025-100004,8,Avoid,Weak data structure knowledge.,2025-07-23,2025-07-23
2025-100004,11,Prefer,Web systems and technologies.,2025-07-23,2025-07-23
2025-100004,17,Prefer,General education electives expertise.,2025-07-23,2025-07-23
2025-100004,21,Avoid,No systems integration experience.,2025-07-23,2025-07-23
2025-100004,25,Avoid,No experience scaling networks.,2025-07-23,2025-07-23
2025-100004,28,Avoid,Weak elective subject knowledge.,2025-07-23,2025-07-23
2025-100004,12,Prefer,Introduction to networks expertise.,2025-07-23,2025-07-23
2025-100004,24,Prefer,Comfortable teaching quantitative methods.,2025-07-23,2025-07-23
2025-100005,2,Prefer,Programming fundamentals expertise.,2025-07-23,2025-07-23
2025-100005,9,Prefer,Object-oriented programming skills.,2025-07-23,2025-07-23
2025-100005,20,Avoid,No data mining experience.,2025-07-23,2025-07-23
2025-100005,24,Prefer,Strong quantitative methods skills.,2025-07-23,2025-07-23
2025-100005,26,Prefer,Software engineering background.,2025-07-23,2025-07-23
2025-100005,29,Avoid,Limited info assurance knowledge.,2025-07-23,2025-07-23
2025-100005,32,Prefer,Integrative programming skills.,2025-07-23,2025-07-23
2025-100005,35,Avoid,No capstone project supervision.,2025-07-23,2025-07-23
2025-100005,18,Prefer,Database systems experience.,2025-07-23,2025-07-23
2025-100005,22,Avoid,Weak web systems background.,2025-07-23,2025-07-23
2025-100006,3,Avoid,No general education expertise.,2025-07-23,2025-07-23
2025-100006,6,Prefer,Programming skills.,2025-07-23,2025-07-23
2025-100006,13,Prefer,Information management background.,2025-07-23,2025-07-23
2025-100006,19,Prefer,Systems analysis experience.,2025-07-23,2025-07-23
2025-100006,21,Avoid,No system integration knowledge.,2025-07-23,2025-07-23
2025-100006,23,Avoid,Not skilled in event-driven programming.,2025-07-23,2025-07-23
2025-100006,28,Avoid,Weak IT elective background.,2025-07-23,2025-07-23
2025-100006,34,Avoid,Limited info assurance skills.,2025-07-23,2025-07-23
2025-100006,16,Prefer,Routing and switching basics.,2025-07-23,2025-07-23
2025-100006,9,Avoid,Unfamiliar with OOP concepts.,2025-07-23,2025-07-23
2025-100007,1,Avoid,No introductory computing expertise.,2025-07-23,2025-07-23
2025-100007,3,Prefer,General education electives.,2025-07-23,2025-07-23
2025-100007,7,Prefer,General education experience.,2025-07-23,2025-07-23
2025-100007,10,Avoid,Unfamiliar with platform technologies.,2025-07-23,2025-07-23
2025-100007,14,Prefer,Quantitative methods skills.,2025-07-23,2025-07-23
2025-100007,17,Prefer,General education electives.,2025-07-23,2025-07-23
2025-100007,21,Avoid,No systems integration experience.,2025-07-23,2025-07-23
2025-100007,26,Avoid,Weak software engineering skills.,2025-07-23,2025-07-23
2025-100007,9,Avoid,Limited programming skills.,2025-07-23,2025-07-23
2025-100007,12,Avoid,No networking knowledge.,2025-07-23,2025-07-23
2025-100008,4,Prefer,Human-computer interaction background.,2025-07-23,2025-07-23
2025-100008,9,Prefer,Object-oriented programming skills.,2025-07-23,2025-07-23
2025-100008,18,Prefer,Advanced database knowledge.,2025-07-23,2025-07-23
2025-100008,22,Avoid,Limited web systems experience.,2025-07-23,2025-07-23
2025-100008,27,Prefer,Multimedia systems.,2025-07-23,2025-07-23
2025-100008,31,Avoid,No connecting networks experience.,2025-07-23,2025-07-23
2025-100008,35,Prefer,Capstone project mentoring.,2025-07-23,2025-07-23
2025-100008,20,Avoid,No data mining expertise.,2025-07-23,2025-07-23
2025-100008,12,Prefer,Networking fundamentals.,2025-07-23,2025-07-23
2025-100008,33,Avoid,Unfamiliar with systems integration.,2025-07-23,2025-07-23
2025-100009,2,Prefer,Programming fundamentals.,2025-07-23,2025-07-23
2025-100009,9,Prefer,Object-oriented programming.,2025-07-23,2025-07-23
2025-100009,16,Prefer,Routing and switching essentials.,2025-07-23,2025-07-23
2025-100009,22,Prefer,Web systems and technologies.,2025-07-23,2025-07-23
